title,entity
豆类条蜂缘蝽,my_entity
甘蔗缺素病,my_entity
高粱煤纹病,my_entity
药用植物北沙参黄化病,my_entity
弯刺黑蝽,my_entity
花生黄化病,my_entity
药用植物芦笋茎枯病,my_entity
棉花棉铃灰霉病,my_entity
药用植物肉桂叶枯病,my_entity
粟(谷子)粒黑穗病,my_entity
油菜菜螟,my_entity
药用植物杜仲立枯病,my_entity
黄星蝗,my_entity
药用植物黄连列当,my_entity
烟草猝倒病,my_entity
药用植物菠萝黑腐病,my_entity
桑树桑大象虫(灌县癞象),my_entity
桑树桑白毛虫,my_entity
牛毛毡,my_entity
玉米药害,my_entity
桑树人纹污灯蛾,my_entity
药用植物山莴苣白粉病,my_entity
茶胴枯病,my_entity
甜菜黄褐纤毛象,my_entity
看麦娘,my_entity
花鼠,my_entity
药用植物害虫紫苏粉蚧,my_entity
麦根蝽象,my_entity
药用植物芫荽菌核病,my_entity
药用植物害虫常春藤圆盾蚧,my_entity
药用植物益智轮绞褐斑病,my_entity
茶树茶木蛾,my_entity
荞麦褐斑病,my_entity
大麦云纹病,my_entity
药用植物菊花锈病,my_entity
阿尔泰狗哇花,my_entity
甘薯茎螟,my_entity
药用植物玄参斑枯病,my_entity
高粱紫斑病,my_entity
桑树桑园大青叶蝉,my_entity
甘蔗凤梨病,my_entity
茶树茶细蛾,my_entity
水稻倒伏,my_entity
甘薯茎线虫病,my_entity
药用植物大豆菌核病,my_entity
黑线姬鼠,my_entity
水稻稻切叶螟,my_entity
小麦秆枯病,my_entity
烟草潜叶蛾,my_entity
烟草空胫病,my_entity
宽叶独行菜,my_entity
马铃薯尾孢菌叶斑病,my_entity
大豆纹枯病,my_entity
朱砂叶螨,my_entity
隐纹谷弄蝶,my_entity
马唐和止血马唐,my_entity
药用植物黄连白粉病,my_entity
棉花黄萎病,my_entity
烟草普通花叶病,my_entity
桑树皑粉蚧,my_entity
豌豆根腐瞒,my_entity
油菜菌核病,my_entity
桑椹菌核病,my_entity
药用植物害虫蝼蛄类,my_entity
小麦丛矮病,my_entity
东亚飞蝗,my_entity
桑树云斑天牛,my_entity
眼子菜,my_entity
粟(谷子)红叶病,my_entity
茶网饼病,my_entity
甜菜细菌性斑枯病,my_entity
豌豆象,my_entity
向日葵黄萎病,my_entity
药用植物臭椿白粉病,my_entity
花生白绢病,my_entity
小麦霜霉病,my_entity
药用植物害虫光肩星天牛,my_entity
水稻稻铁甲虫,my_entity
黑麦秆锈病,my_entity
水稻稻褐眼蝶,my_entity
马铃薯块茎蛾,my_entity
药用植物害虫南美斑潜蝇,my_entity
药用植物白芷斑枯病,my_entity
油菜田蚜虫,my_entity
棉花琉璃弧丽金龟,my_entity
天敌,my_entity
药用植物西洋参黑斑病,my_entity
花生根颈腐病,my_entity
茶轮斑病,my_entity
水稻叶黑肿病,my_entity
棉花棉根蚜,my_entity
油菜美洲斑潜蝇,my_entity
茶饼病,my_entity
药用植物丝瓜根结钱虫病,my_entity
野蛞蝓,my_entity
高粱芒蝇,my_entity
药用植物害虫黑足黑守瓜,my_entity
?药用植物玫瑰、月季黑斑病,my_entity
药用植物牛蒡花叶病,my_entity
亚麻、胡麻枯萎病,my_entity
稗草,my_entity
金色狗尾草,my_entity
桑紫纹羽病,my_entity
绿豆象,my_entity
棉花苜蓿盲蝽,my_entity
二条叶甲,my_entity
棉花红(黄)叶枯病,my_entity
马铃薯甲虫,my_entity
水稻纹枯病,my_entity
芝麻褐斑病,my_entity
药用植物害虫枇杷黄毛虫,my_entity
棉花小绿叶蝉,my_entity
华北蝼蛄,my_entity
茶树根癌病,my_entity
高粱低温冷害,my_entity
大豆药害,my_entity
药用植物油松立枯病,my_entity
马铃薯软腐病,my_entity
甘薯麦蛾,my_entity
大麦斑点病,my_entity
水稻青枯病,my_entity
荞麦斑枯病,my_entity
豌豆灰露病,my_entity
药用植物荞麦立枯病,my_entity
高粱坚黑粉病,my_entity
水稻稻秆潜蝇,my_entity
谷婪步甲,my_entity
油菜苹毛丽金龟,my_entity
玉米蚜,my_entity
药用植物贝母灰霉病,my_entity
甘薯小龟甲,my_entity
大地老虎,my_entity
豆类豆灰蝶,my_entity
高粱锈病,my_entity
茶树茶梨蚧,my_entity
药用植物白芍轮斑病,my_entity
高粱柱黑穗病,my_entity
茶树黄刺蛾,my_entity
药用植物板蓝根黑斑病,my_entity
豆类豇豆荚螟,my_entity
茶树茶短须螨,my_entity
圆叶牵牛,my_entity
向日葵花叶病毒病,my_entity
药用植物害虫中华金带蛾,my_entity
白草,my_entity
药用植物柿炭疽病,my_entity
药用植物枸杞灰斑病,my_entity
药用植物害虫蔷薇叶蜂,my_entity
黄鼠,my_entity
白星花金龟,my_entity
小麦雪霉叶枯病,my_entity
甜菜丛根病,my_entity
甘蔗叶萎病,my_entity
药用植物害虫竹节虫,my_entity
茶树紫纹羽病,my_entity
芝麻茎点枯病,my_entity
大青叶蝉,my_entity
药用植物油松(松香)针锈病,my_entity
水稻一柱香病,my_entity
水稻齿矮病,my_entity
茶树蛇眼蚧,my_entity
黍、稷(糜子)丝黑穗病,my_entity
甜菜田黑绒金龟子,my_entity
芝麻青枯病,my_entity
苎麻褐斑病,my_entity
水稻鳃蚯蚓,my_entity
茶树小绿叶蝉,my_entity
药用植物玫瑰、月季白粉病,my_entity
烟草丛枝病,my_entity
玉米变异穗和双色穗,my_entity
药用植物绿豆细菌性疫病,my_entity
玉米丝核菌穗腐病,my_entity
麦长管蚜,my_entity
截形叶蜗和朱砂叶瞒,my_entity
防治方法相同,my_entity
黑麦麦角病,my_entity
粟(谷子)黑粉病,my_entity
大麻白星病,my_entity
蚕豆(BYMV)花叶病,my_entity
玉米苗期立枯丝核茵根腐病,my_entity
亚麻夜蛾(烟草蛾),my_entity
花生烂种,my_entity
木薯花叶病,my_entity
桑树桑螟,my_entity
甘蔗霜霉病,my_entity
茶云纹叶枯病,my_entity
药用植物柑橘(陈皮)黄龙病,my_entity
花生冠腐病,my_entity
水稻黑尾叶蝉,my_entity
药用植物害虫银杏大蚕蛾,my_entity
小麦穗发芽,my_entity
入药部位,my_entity
高粱大斑病,my_entity
甜菜霜霉病,my_entity
东方行军蚁,my_entity
药用植物害虫甜菜夜蛾,my_entity
药用植物菊花花叶病毒病,my_entity
桑白绢病,my_entity
棉花棉小卵象,my_entity
茶树茶枝镰蛾,my_entity
绿豆立枯病,my_entity
茶树茶园桔黄粉虱,my_entity
水稻黄叶病,my_entity
玉米黑束病,my_entity
玉米茎腐病,my_entity
大豆黑痘病,my_entity
药用植物害虫枸杞木虱,my_entity
茶树白蛾蜡蝉,my_entity
黄麻炭疽病,my_entity
桑根结线虫病,my_entity
马铃自癌肿病,my_entity
小麦颖枯病,my_entity
药用植物害虫茴香薄翅野螟,my_entity
麻类苘麻病害,my_entity
?药用植物紫苏锈病,my_entity
花生田端大蓟马,my_entity
药用植物石楠红斑病,my_entity
棉花褐斑病,my_entity
粟凹胫跳甲,my_entity
花生黄花叶病,my_entity
小麦眼斑病,my_entity
小麦蜜穗病,my_entity
棉花焦条丽夜峨,my_entity
甘薯疮痂病,my_entity
玉米种子霉烂和腐霉茵根腐病,my_entity
棉花刺线虫病,my_entity
药用植物吊兰炭疽病,my_entity
大豆茎枯病,my_entity
黄尾球跳甲,my_entity
粟(谷子)墨黑粉病,my_entity
药用植物枣锈病,my_entity
大麻花蚤,my_entity
油菜种蝇,my_entity
甘蔗叶灼病,my_entity
药用植物榕树根结线虫病,my_entity
桑树膏药病,my_entity
桑树桑黄迷萤叶甲,my_entity
亚洲玉米螟,my_entity
玉米线虫病,my_entity
玉米镰刀菌苗枯病,my_entity
大麻跳甲,my_entity
棉花棉小造桥虫,my_entity
水稻稻筒水螟,my_entity
属目,my_entity
玉米空秆,my_entity
小麦卷曲病,my_entity
药用植物南瓜(南瓜子)花叶病毒病,my_entity
草木樨,my_entity
药用植物姜瘟病,my_entity
桑树桑梢小囊虫,my_entity
大豆灰斑病,my_entity
烟草白粉病,my_entity
药用植物穿心莲枯萎病,my_entity
蚕豆象,my_entity
棉花棉黑蚜,my_entity
桑树缺硼症,my_entity
药用植物害虫腐食酪螨,my_entity
玉米粉红聚端孢穗腐病,my_entity
药用植物荠菜病毒病,my_entity
药用植物龙葵轮纹病,my_entity
粟(谷子)苗枯病,my_entity
豌豆炭疽病,my_entity
细胸金针虫,my_entity
南美斑潜蝇(拉美斑潜蝇),my_entity
药用植物西洋参疫病,my_entity
芝麻短额负蝗,my_entity
北京油葫芦,my_entity
药用植物苋白锈病,my_entity
茶树角蜡蚧,my_entity
甘蔗黄锈病,my_entity
白边地老虎,my_entity
苎麻灰疽病,my_entity
药用植物地黄疫病,my_entity
毒麦,my_entity
豆类豆荚野螟,my_entity
茶树茶斑蛾,my_entity
桑树白纹羽网病,my_entity
茶树茶黄硬蓟马,my_entity
烟草黄瓜花叶病,my_entity
药用植物小茴香猝倒病,my_entity
麻天牛,my_entity
大麦条锈病,my_entity
药用植物冬葵菌核病,my_entity
甘薯紫纹羽病,my_entity
桑污叶病,my_entity
小花鬼针草,my_entity
糜子吸浆虫,my_entity
药用植物黄芪白粉病,my_entity
药用植物薄荷霜霉病,my_entity
玉米蛀茎夜娥,my_entity
茶树苏铁褐点盾蚧,my_entity
药用植物害虫椰圆蚧,my_entity
茶树绿盲蝽,my_entity
豆类大豆菜瘿蚊,my_entity
药用植物山茱萸角斑病,my_entity
茶树豆盗毒蛾,my_entity
玉米灰斑病,my_entity
豆类豆田棉铃虫,my_entity
药用植物蒲公英白粉病,my_entity
药用植物稻白叶枯病,my_entity
向日葵锈病,my_entity
豆类豆秆黑潜蝇,my_entity
水稻低温冷害,my_entity
甘蔗病害,my_entity
油菜菜斑潜蝇,my_entity
桑树春尺蠖,my_entity
病原中文名,my_entity
大麦坚黑穗病,my_entity
小麦梭条斑花叶病毒病,my_entity
玉米小斑病T小种穗腐病,my_entity
水稻细菌性褐条病,my_entity
小麦管蓟马,my_entity
黄麻枯腐病,my_entity
桑卷叶枯病,my_entity
药用植物旱芹斑枯病,my_entity
玉米青霉穗腐病,my_entity
玉米异跗萤叶甲,my_entity
药用植物棕榈炭疽病,my_entity
药用植物桃褐斑病,my_entity
桑树桑褐刺蛾,my_entity
药用植物百合叶枯病,my_entity
绿豆细菌性痰病,my_entity
水稻高温热害,my_entity
药用植物害虫斑须蝽,my_entity
豌豆霜霉病,my_entity
水稻黄萎病,my_entity
药用植物害虫山楂叶螨,my_entity
油菜大菜螟,my_entity
棉花中黑盲蝽,my_entity
大豆根结线虫病,my_entity
药用植物害虫短额负蝗,my_entity
小地老虎,my_entity
茶树椰圆蚧,my_entity
水稻叶尖枯病,my_entity
油菜苗期根腐病,my_entity
药用植物苏铁斑点病,my_entity
药用植物慈菇黑粉病,my_entity
棉花棉田烟蓟马,my_entity
药用植物花椒锈病,my_entity
药用植物黄芪根腐病,my_entity
药用植物玉竹曲霉病,my_entity
药用植物山茱萸炭疽病,my_entity
粟秆蝇,my_entity
（牛龙）牛儿苗,my_entity
甘蔗扁角飞虱,my_entity
棉花棉茎木囊蛾,my_entity
甘薯黑痣病,my_entity
水稻直纹稻弄蝶,my_entity
绿翅脊萤叶甲,my_entity
药用植物薄荷白绢病,my_entity
油菜大菜粉蝶,my_entity
?茶树茶天牛,my_entity
油菜八点灰灯蛾,my_entity
药用植物棉花黄萎病,my_entity
亚麻、胡麻炭疽病,my_entity
水稻条纹叶枯病,my_entity
茶树茶牡蛎蚧,my_entity
银川油葫芦,my_entity
蚕豆褐斑病,my_entity
赤拟谷盗,my_entity
玉米斑枯病,my_entity
高粱纹枯病,my_entity
药用植物苘麻子胴枯病,my_entity
药用植物麦冬炭疽病,my_entity
药用植物马齿苋白锈病,my_entity
棉花棉褐带卷娥,my_entity
烟草烟田大灰象甲,my_entity
大麻霜霉病,my_entity
向日葵斑螟,my_entity
?药用植物桔梗轮纹病,my_entity
燕麦坚黑穗病,my_entity
麻田棉小造桥虫,my_entity
药用植物害虫咖啡透翅天蛾,my_entity
桑树舞毒蛾,my_entity
高粱缺素症,my_entity
野生麦,my_entity
小麦倒伏,my_entity
豌豆褐斑病,my_entity
甘薯肖叶甲,my_entity
烟草细菌角斑病,my_entity
花生斑驳病毒病,my_entity
药用植物白芍灰霉病,my_entity
药用植物酸橙溃疡病,my_entity
赤须盲蝽(赤角盲蝽),my_entity
豆类银锭夜蛾,my_entity
茶藻斑病,my_entity
茶树黑粉虱,my_entity
茶煤病,my_entity
大豆霜霉病,my_entity
药用植物害虫六星黑点蠹蛾,my_entity
大麦缺素症,my_entity
药用植物害虫地老虎类,my_entity
桑树桑蛀虫,my_entity
大刺儿菜,my_entity
烟青虫,my_entity
豆类斑背安缘蝽,my_entity
桑树桑蟥,my_entity
大麦叶锈病,my_entity
蚕豆镰刀菌萎蔫病,my_entity
棉花棉蚜,my_entity
甜菜草地螟,my_entity
棉花叶烧病,my_entity
甘薯冻害,my_entity
小麦叶锈病,my_entity
东南大黑鳃金龟,my_entity
豌豆苗核病,my_entity
水稻三化螟,my_entity
警纹地老虎,my_entity
甜菜蛇眼病,my_entity
大豆轮纹病,my_entity
药用植物紫菜莉叶斑病,my_entity
药用植物酸浆(锦灯笼)叶斑病,my_entity
药用植物泡桐根结线虫病,my_entity
玉米丝黑穗病,my_entity
药用植物白花曼陀罗轮纹病,my_entity
花生立枯病和纹枯病,my_entity
茶苗白绢病,my_entity
桑花叶卷叶病,my_entity
茶树木liao尺蠖,my_entity
药用植物长春花变叶病,my_entity
麦茎异跗萤叶甲,my_entity
茶树褐边绿刺蛾,my_entity
麦黑斑潜叶蝇,my_entity
药用植物韭菜灰霉病,my_entity
小麦蓝矮病毒病,my_entity
药用植物量天尺炭疽病,my_entity
禾谷镰刀菌病,my_entity
水稻山稻蝗,my_entity
药用植物番石榴褐斑病,my_entity
药用植物蕹菜猝倒病,my_entity
甘蔗二点螟,my_entity
药用植物害虫胡萝卜微管蚜,my_entity
甘薯田斜纹夜峨,my_entity
绿豆病毒病,my_entity
棉花朱砂叶螨,my_entity
药用植物害虫棉蚜,my_entity
甘蔗栉叩头虫,my_entity
甘蔗蚜,my_entity
药用植物仙人掌炭疽病,my_entity
棉花绿盲蝽,my_entity
反枝苋,my_entity
荞麦叶斑病,my_entity
龙葵,my_entity
玉米假黑粉病,my_entity
麻田蚜虫,my_entity
玉米干腐病,my_entity
甜菜夜蛾,my_entity
小麦白粉病,my_entity
水稻细菌性谷枯病,my_entity
药用植物水仙褐斑病,my_entity
茶树红圆蚧,my_entity
向日葵细菌性叶斑病,my_entity
棉花蒙古灰象甲,my_entity
药用植物害虫榆四脉绵蚜,my_entity
豆类豆秆野螟,my_entity
药用植物曼陀罗黄萎病,my_entity
甘蔗环斑病,my_entity
绿豆叶斑病,my_entity
药用植物害虫大青叶蝉,my_entity
茶树茶二叉蚜,my_entity
玉米霜霉病,my_entity
玉米低温障碍,my_entity
高粱矮花叶病(高粱红条病),my_entity
茶树茶毒蛾(茶毛虫),my_entity
玉米田棉铃虫,my_entity
药用植物害虫山楂长小囊,my_entity
大豆猝倒病和立枯病,my_entity
甘蔗白叶病,my_entity
绿豆白粉病,my_entity
药用植物甘草褐斑病,my_entity
蚕豆油壶菌火肿病,my_entity
水稻褐边螟,my_entity
黍、稷(糜子)根腐病,my_entity
?药用植物芦笋灰霉病,my_entity
药用植物芦荟炭疽病,my_entity
棉花棉田银纹夜蛾,my_entity
玉米大斑病,my_entity
蚕豆立枯病,my_entity
药用植物紫薇白粉病,my_entity
豆类豆芜菁,my_entity
药用植物害虫茄二十八星瓢虫,my_entity
药用植物量天尺枯萎腐烂病,my_entity
棵蛛甲,my_entity
甘蔗条螟,my_entity
黑额光叶甲,my_entity
蓖麻四星尺蛾,my_entity
药用植物药菊花枯萎病,my_entity
黑皮蠹,my_entity
棉花棉田美洲班潜蝇,my_entity
烟草烟蛀茎蛾,my_entity
甜菜根腐病,my_entity
药用植物白芍疫病,my_entity
水稻稻赤斑沫蝉,my_entity
高粱弯孢霉穗腐病,my_entity
药用植物地黄轮纹病,my_entity
玉米弯孢霉菌叶斑病,my_entity
匍枝根霉病,my_entity
桑树桑叶瘿蚊,my_entity
药用植物茶树炭疽病,my_entity
水稻显纹纵卷叶螟,my_entity
麻田酒花秆野螟,my_entity
小麦缺素症,my_entity
桑树桑天牛,my_entity
药用植物葛（粉葛）细菌性叶斑病,my_entity
药用植物浮小麦根腐病,my_entity
绿豆锈病,my_entity
水稻细菌性基腐病,my_entity
散居型飞蝗,my_entity
西北麦蝽,my_entity
药用植物冬珊瑚叶霉病,my_entity
药用植物草木樨白粉病,my_entity
茶树八点广翅蜡蝉,my_entity
马铃薯红周刺座霉干腐病,my_entity
小麦越冬死苗,my_entity
蚕豆赤斑病,my_entity
大麻小食心虫,my_entity
药用植物害虫菊小长管蚜,my_entity
油菜甘蓝夜蛾,my_entity
药用植物马钱轮纹褐斑病,my_entity
药用植物害虫莴苣冬夜蛾,my_entity
药用植物夹竹桃灰斑病,my_entity
油菜萎缩不实症,my_entity
玉米空气污染,my_entity
棉花角斑病,my_entity
棉花根结线虫病,my_entity
马铃薯炭疽病,my_entity
大麦纹枯病,my_entity
豆类肾坑翅夜蛾,my_entity
高粱瘿蚊,my_entity
山楂、野山楂锈病,my_entity
黍红叶病,my_entity
玉米细菌性茎腐病,my_entity
高粱炭腐病,my_entity
棉花翠纹金刚钻,my_entity
棉花三点盲蝽,my_entity
烟草烟盲蝽,my_entity
花生田灰地种蝇,my_entity
药用植物番木瓜褐腐病,my_entity
油菜斜纹夜蛾,my_entity
